N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.423778,0.0975475920564
100,4,1,2,0.394294,0.0407450557
100,4,1,3,0.416228,0.0378994461173
100,4,2,1,0.35616,0.0505628163773
100,4,3,1,0.378618,0.0375599264643
100,4,2,2,0.373588,0.0300099692769
100,4,3,3,0.461652,0.0344991434097
100,8,1,1,0.402752,0.0832338782948
100,8,1,2,0.380072,0.0403258083118
100,8,1,3,0.406036,0.0354033713649
100,8,2,1,0.345716,0.0501627286339
100,8,3,1,0.359926,0.0367735302086
100,8,2,2,0.340264,0.033062521138
100,8,3,3,0.360208,0.0274089170892
398,4,1,1,0.617146,0.0588397542823
398,4,1,2,0.73334,0.059361876655
398,4,1,3,0.878302,0.0607302132056
398,4,2,1,0.635934,0.0600311722691
398,4,3,1,0.766924,0.0506888372721
398,4,2,2,0.705746,0.0419602369393
398,4,3,3,1.041072,0.051024492315
398,8,1,1,0.561592,0.0692556534588
398,8,1,2,0.706216,0.0730687165892
398,8,1,3,0.886946,0.0666802750744
398,8,2,1,0.645968,0.0507749049827
398,8,3,1,0.771912,0.0584617503672
398,8,2,2,0.581012,0.0370006466971
398,8,3,3,0.648316,0.044562227772
