N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.377674,0.0827876544178
100,4,1,2,0.355288,0.0391477337275
100,4,1,3,0.358684,0.022535397578
100,4,2,1,0.375188,0.0249052736584
100,4,3,1,0.428456,0.0335031948327
100,4,2,2,0.374472,0.0355708478392
100,4,3,3,0.425764,0.0423322135495
100,8,1,1,0.360674,0.076968927003
100,8,1,2,0.352924,0.0310793536612
100,8,1,3,0.353798,0.0232071798373
100,8,2,1,0.377536,0.0305902713947
100,8,3,1,0.412714,0.0270131857433
100,8,2,2,0.369028,0.0338984839779
100,8,3,3,0.416014,0.0377190376866
398,4,1,1,0.490314,0.0574165777803
398,4,1,2,0.640352,0.0408476204448
398,4,1,3,0.664434,0.0355953598661
398,4,2,1,0.670948,0.0293362113437
398,4,3,1,0.714526,0.0339272357259
398,4,2,2,0.5112,0.0374053472113
398,4,3,3,0.57894,0.0538750443155
398,8,1,1,0.502434,0.0603717288472
398,8,1,2,0.630318,0.031246645836
398,8,1,3,0.65973,0.0361444477064
398,8,2,1,0.66491,0.0247490181623
398,8,3,1,0.713002,0.0282554418829
398,8,2,2,0.511198,0.0332667220507
398,8,3,3,0.583066,0.0551574622694
