N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.440338,0.101434805447
100,4,1,2,0.438718,0.0409307033411
100,4,1,3,0.485716,0.0279568121216
100,4,2,1,0.41257,0.0374186731459
100,4,3,1,0.439768,0.0289743019933
100,4,2,2,0.40646,0.0335388789318
100,4,3,3,0.581792,0.0518283391206
100,8,1,1,0.43108,0.0608332277625
100,8,1,2,0.468478,0.044675021164
100,8,1,3,0.476786,0.0480676627682
100,8,2,1,0.390828,0.0377232344318
100,8,3,1,0.401736,0.0310629410069
100,8,2,2,0.360202,0.0304172516181
100,8,3,3,0.43986,0.0358815885936
398,8,1,1,0.754764,0.200872069497
398,8,1,2,0.97522,0.0788717921693
398,8,1,3,1.105366,0.0510812298599
398,8,2,1,0.839988,0.0571501868413
398,8,3,1,0.945736,0.0516779092456
398,8,2,2,0.769826,0.0769723049155
398,8,3,3,0.966638,0.0410806396737
